Location,Date,Type,Longitude,Latitude
Mendocino County,06/02/2021,hoop,-123.2718800982625,39.45627935035146
Mendocino County,06/02/2021,hoop,-123.2719248636308,39.45628234557486
Mendocino County,06/02/2021,hoop,-123.2720065675975,39.45627856300977
Mendocino County,06/02/2021,hoop,-123.2720521706165,39.45627213972211
Mendocino County,06/02/2021,hoop,-123.2721651673419,39.45623539436762
Mendocino County,06/02/2021,hoop,-123.2722042812883,39.45621971818706
Mendocino County,06/02/2021,hoop,-123.272264438312,39.45617197047968
Mendocino County,06/02/2021,hoop,-123.27229848336,39.45537071883279
Mendocino County,06/02/2021,hoop,-123.2723450017036,39.45537868534627
Mendocino County,06/02/2021,hoop,-123.2720995522229,39.45532850342941
Mendocino County,06/02/2021,hoop,-123.2721203476682,39.45528537335883
Mendocino County,06/02/2021,hoop,-123.2721453033753,39.45533315956888
Mendocino County,06/02/2021,hoop,-123.2721734378304,39.45529261494715
Mendocino County,06/02/2021,hoop,-123.2722061953634,39.45534260383832
Mendocino County,06/02/2021,hoop,-123.2722148951748,39.45531042606096
Mendocino County,06/02/2021,hoop,-123.2722337988303,39.45535042288123
Mendocino County,06/02/2021,hoop,-123.2722698858506,39.45531392360784
Mendocino County,06/02/2021,hoop,-123.2316270301315,39.45420984858949
Mendocino County,06/02/2021,hoop,-123.2315314256185,39.45417944877367
Mendocino County,06/02/2021,hoop,-123.2316645369801,39.45413285626766
Mendocino County,06/02/2021,hoop,-123.2315634385031,39.45409342482201
Mendocino County,06/02/2021,hoop,-123.2318510687588,39.45406413540518
Mendocino County,06/02/2021,hoop,-123.2317346725449,39.4540443675826
Mendocino County,06/02/2021,hoop,-123.2318606971367,39.45400944110945
Mendocino County,06/02/2021,hoop,-123.2317002701686,39.45397024910682
Mendocino County,06/02/2021,hoop,-123.2319001654947,39.45395527399803
Mendocino County,06/02/2021,hoop,-123.2317345434572,39.45391979382998
Mendocino County,06/02/2021,hoop,-123.2321300145002,39.45418293089056
Mendocino County,06/02/2021,hoop,-123.2320200750335,39.45414693980207
Mendocino County,06/02/2021,hoop,-123.231752752508,39.45418489753027
Mendocino County,06/02/2021,hoop,-123.2322396544684,39.45415964671248
Mendocino County,06/02/2021,hoop,-123.2322729300227,39.4540669269278
Mendocino County,06/02/2021,hoop,-123.2323210489933,39.45421967132081
Mendocino County,06/02/2021,hoop,-123.2323724148308,39.45415027765856
