Location,Date,Type,Longitude,Latitude
Watsonville,05/09/2018,hoop,-121.7439614061814,36.90863657618667
Watsonville,05/09/2018,hoop,-121.744370153981,36.90847800608312
Watsonville,05/09/2018,hoop,-121.7447867192958,36.90873499252069
Watsonville,05/09/2018,hoop,-121.7429328422442,36.90806810513825
Watsonville,05/09/2018,hoop,-121.7434486372362,36.90776917129625
Watsonville,05/09/2018,hoop,-121.7438482634216,36.90805874237672
Watsonville,05/09/2018,hoop,-121.7444925376897,36.90803055801819
Watsonville,05/09/2018,hoop,-121.7450035877474,36.90801388091076
Watsonville,05/09/2018,hoop,-121.7428855356456,36.90735436239292
Watsonville,05/09/2018,hoop,-121.7432934174258,36.90711740940023
Watsonville,05/09/2018,hoop,-121.7437001451662,36.90742076842712
Watsonville,05/09/2018,hoop,-121.7442132128092,36.90713328120205
Watsonville,05/09/2018,hoop,-121.7446055918691,36.90743053677105
Watsonville,05/09/2018,hoop,-121.7447072870881,36.90667314799227
Watsonville,05/09/2018,hoop,-121.7449807385639,36.90632313862267
Watsonville,05/09/2018,hoop,-121.7452818711542,36.90643660281972
Watsonville,05/09/2018,hoop,-121.7452703501452,36.90670863887669
Watsonville,05/09/2018,hoop,-121.7450295191113,36.90655181749503
Watsonville,05/09/2018,hoop,-121.7456569578296,36.90705031600463
Watsonville,05/09/2018,hoop,-121.7457484219653,36.90745593163585
Watsonville,05/09/2018,hoop,-121.7456354210056,36.90783851561039
Watsonville,05/09/2018,hoop,-121.7460878668859,36.9071072139553
Watsonville,05/09/2018,hoop,-121.7460736902299,36.90734882724788
Watsonville,05/09/2018,hoop,-121.7386457210854,36.90193202651695
Watsonville,05/09/2018,hoop,-121.7421842966118,36.90232473036843
Watsonville,05/09/2018,hoop,-121.7411352083971,36.90208932573226
Watsonville,05/09/2018,hoop,-121.7397999772841,36.90215814619677
Watsonville,05/09/2018,hoop,-121.7408636654297,36.90234455529062
Watsonville,05/09/2018,hoop,-121.7386988688667,36.90277037182283
Watsonville,05/09/2018,hoop,-121.7395523697686,36.90310972428966
Watsonville,05/09/2018,hoop,-121.7401668686278,36.90275514534528
Watsonville,05/09/2018,hoop,-121.740723926718,36.90312252275432
Watsonville,05/09/2018,hoop,-121.7414879278153,36.90299462919374
Watsonville,05/09/2018,hoop,-121.7387907998364,36.90354735143107
Watsonville,05/09/2018,hoop,-121.7392773626655,36.90394036300229
Watsonville,05/09/2018,hoop,-121.7400905982773,36.90361780890361
Watsonville,05/09/2018,hoop,-121.7404274592583,36.90395849464885
Watsonville,05/09/2018,hoop,-121.7414488091754,36.90350831666404
Watsonville,05/09/2018,hoop,-121.7426883330789,36.90201598773152
Watsonville,05/09/2018,hoop,-121.7434133517283,36.90241418787063
Watsonville,05/09/2018,hoop,-121.7440953935057,36.9020779607111
Watsonville,05/09/2018,hoop,-121.7446801049414,36.90238305293536
Watsonville,05/09/2018,hoop,-121.7456934956375,36.90216247311635
Watsonville,05/09/2018,hoop,-121.7428445664566,36.90284082889271
Watsonville,05/09/2018,hoop,-121.743585892316,36.90322559572171
Watsonville,05/09/2018,hoop,-121.7439925991753,36.90280668983475
Watsonville,05/09/2018,hoop,-121.7447508672772,36.90331048566973
Watsonville,05/09/2018,hoop,-121.7454075430028,36.90284317230567
Watsonville,05/09/2018,hoop,-121.7427881128558,36.90359023775728
Watsonville,05/09/2018,hoop,-121.7436054072543,36.90368503041967
Watsonville,05/09/2018,hoop,-121.7440571830324,36.90409077831983
Watsonville,05/09/2018,hoop,-121.7447245728113,36.90369870853437
Watsonville,05/09/2018,hoop,-121.7453390023663,36.90391877102143
Watsonville,05/09/2018,hoop,-121.745971321137,36.90363368861441
Watsonville,05/09/2018,hoop,-121.6658484329358,36.88657812055758
Watsonville,05/09/2018,hoop,-121.6661017353625,36.88669986364749
Watsonville,05/09/2018,hoop,-121.66682849838,36.88604497970402
Watsonville,05/09/2018,hoop,-121.6670935001314,36.8860568599879
Watsonville,05/09/2018,hoop,-121.6675024712877,36.88591244833314
Watsonville,05/09/2018,hoop,-121.6677465348624,36.88566705076956
Watsonville,05/09/2018,hoop,-121.6679769309323,36.88583431391724
Watsonville,05/09/2018,hoop,-121.6684095617615,36.88576481048744
Watsonville,05/09/2018,hoop,-121.669061096662,36.88599533475227
Watsonville,05/09/2018,hoop,-121.669293295141,36.88564883756915
Watsonville,05/09/2018,hoop,-121.669351815326,36.88585129658743
Watsonville,05/09/2018,hoop,-121.6695047103256,36.88611604502974
Watsonville,05/09/2018,hoop,-121.6696643203221,36.88570941619967
Watsonville,05/09/2018,hoop,-121.6696411051353,36.88583840877144
Watsonville,05/09/2018,hoop,-121.6699425894441,36.88627976468987
Watsonville,05/09/2018,hoop,-121.6700356658322,36.88586053359454
Watsonville,05/09/2018,hoop,-121.6701683392808,36.88548685113744
Watsonville,05/09/2018,hoop,-121.6702184309764,36.88609696599153
Watsonville,05/09/2018,hoop,-121.6701888290449,36.88564063116555
Watsonville,05/09/2018,hoop,-121.6702845385461,36.88637550874689
Watsonville,05/09/2018,hoop,-121.6705667771292,36.88628857041147
Watsonville,05/09/2018,hoop,-121.6704351482214,36.88597377525282
Watsonville,05/09/2018,hoop,-121.6704332784405,36.88564296278761
Watsonville,05/09/2018,hoop,-121.6705495400331,36.88543032814616
Watsonville,05/09/2018,hoop,-121.6705195249572,36.88652394812963
Watsonville,05/09/2018,hoop,-121.6708212243622,36.88662502524171
Watsonville,05/09/2018,hoop,-121.6710966594357,36.88667342197666
Watsonville,05/09/2018,hoop,-121.6713823733514,36.88664470292964
Watsonville,05/09/2018,hoop,-121.6709497770444,36.88641186673177
Watsonville,05/09/2018,hoop,-121.6711472084773,36.88629177275303
Watsonville,05/09/2018,hoop,-121.6713996502911,36.88637130459211
Watsonville,05/09/2018,hoop,-121.6708507437141,36.88607499978513
Watsonville,05/09/2018,hoop,-121.6713285702257,36.88608638134287
Watsonville,05/09/2018,hoop,-121.6708730515341,36.88586202402242
Watsonville,05/09/2018,hoop,-121.6711274769053,36.88588527347714
Watsonville,05/09/2018,hoop,-121.6709046878673,36.88562660486097
Watsonville,05/09/2018,hoop,-121.6713108088888,36.88576431270965
Watsonville,05/09/2018,hoop,-121.6709472565067,36.88886147072086
Watsonville,05/09/2018,hoop,-121.6710316740717,36.88852078760071
Watsonville,05/09/2018,hoop,-121.6712800242962,36.88884620954816
Watsonville,05/09/2018,hoop,-121.6709585834767,36.88803147910277
Watsonville,05/09/2018,hoop,-121.6712986180748,36.88831391787171
Watsonville,05/09/2018,hoop,-121.6711565416897,36.88794272575129
Watsonville,05/09/2018,hoop,-121.6710415634176,36.88748409408544
Watsonville,05/09/2018,hoop,-121.6719045172179,36.88677652453845
Watsonville,05/09/2018,hoop,-121.6724790883958,36.88662377496954
Watsonville,05/09/2018,hoop,-121.671887094887,36.88630040961798
Watsonville,05/09/2018,hoop,-121.6724868633562,36.88607577292553
Watsonville,05/09/2018,hoop,-121.6728560434065,36.88536497474212
Watsonville,05/09/2018,hoop,-121.6732418174309,36.88652115253436
Watsonville,05/09/2018,hoop,-121.673090343235,36.8862837290415
Watsonville,05/09/2018,hoop,-121.6731231940297,36.88492646502424
Watsonville,05/09/2018,hoop,-121.6739656494798,36.88659952640577
Watsonville,05/09/2018,hoop,-121.6738303237297,36.88535458956373
Watsonville,05/09/2018,hoop,-121.6744508318882,36.88592594711501
Watsonville,09/26/2020,hoop,-121.6790118170848,36.89867918351926
Watsonville,09/26/2020,hoop,-121.6789801016444,36.90182486037313
Watsonville,09/26/2020,hoop,-121.6799256640636,36.90141635910224
Watsonville,09/26/2020,hoop,-121.6811285246358,36.90080677034715
Watsonville,09/26/2020,hoop,-121.6804573206732,36.90058261732624
Watsonville,09/26/2020,hoop,-121.6797362593219,36.90098240001348
Watsonville,09/26/2020,hoop,-121.6792692981363,36.90031715438064
Watsonville,09/26/2020,hoop,-121.6811103226523,36.90010220457459
Watsonville,09/26/2020,hoop,-121.6802463664932,36.899680631294
Watsonville,09/26/2020,hoop,-121.6790388632115,36.8995874399798
Watsonville,09/26/2020,hoop,-121.6812074642011,36.89915987464359
Watsonville,09/26/2020,hoop,-121.6816892043784,36.89778887034488
Watsonville,09/26/2020,hoop,-121.6810858003415,36.8979100167327
Watsonville,09/26/2020,hoop,-121.6803369331635,36.89803079080465
Watsonville,09/26/2020,hoop,-121.6816006069039,36.89877859133684
Watsonville,09/26/2020,hoop,-121.6805319322101,36.89889088650186
Watsonville,09/26/2020,hoop,-121.6796347076219,36.89889928854942
Watsonville,09/26/2020,hoop,-121.678970819234,36.89797697144374
Watsonville,09/26/2020,hoop,-121.6788128156983,36.89729264302434
Watsonville,09/26/2020,hoop,-121.6793091106315,36.89762588365832
Watsonville,09/26/2020,hoop,-121.6835734798987,36.90701863565629
Watsonville,09/26/2020,hoop,-121.6826571620235,36.90669248798282
Watsonville,09/26/2020,hoop,-121.6834295519824,36.90629713129664
Watsonville,09/26/2020,hoop,-121.6828674318478,36.90572587832298
Watsonville,09/26/2020,hoop,-121.6839977959389,36.90558203655451
Watsonville,09/26/2020,hoop,-121.6834651021263,36.90490318258294
Watsonville,09/26/2020,hoop,-121.6825648302742,36.90524097243519
Watsonville,09/26/2020,hoop,-121.6843537394705,36.90463798223617
Watsonville,09/26/2020,hoop,-121.6839777979745,36.9041317408933
Watsonville,09/26/2020,hoop,-121.6830788287566,36.90425067406488
Watsonville,09/26/2020,hoop,-121.6846348054911,36.90385918626264
Watsonville,09/26/2020,hoop,-121.6840960433576,36.9036332612888
Watsonville,09/26/2020,hoop,-121.6835735907584,36.90353857985966
Watsonville,09/26/2020,hoop,-121.6828848818379,36.9035168618165
Watsonville,09/26/2020,hoop,-121.6825362077566,36.90381425941276
Watsonville,09/26/2020,hoop,-121.679728103937,36.90792374384435
Watsonville,09/26/2020,hoop,-121.6798059646064,36.90736606469542
Watsonville,09/26/2020,hoop,-121.6792172890531,36.90757753612368
Watsonville,09/26/2020,hoop,-121.6779438466672,36.90828283817958
Watsonville,09/26/2020,hoop,-121.6773259043325,36.90776755793615
Watsonville,09/26/2020,hoop,-121.6859079502393,36.91169332296442
Watsonville,09/26/2020,hoop,-121.6849959472083,36.91133582785802
Watsonville,09/26/2020,hoop,-121.6856912871523,36.91087918251329
Watsonville,09/26/2020,hoop,-121.6850289665598,36.91046260763447
Watsonville,09/26/2020,hoop,-121.6857787663125,36.91052736306957
Watsonville,09/26/2020,hoop,-121.6860270233025,36.91019127723844
Watsonville,09/26/2020,hoop,-121.6857677775682,36.9097440627835
Watsonville,09/26/2020,hoop,-121.6851944084684,36.90964457016931
Watsonville,09/26/2020,hoop,-121.6858916511742,36.90924626225549
Watsonville,09/26/2020,hoop,-121.6854683746659,36.90879722633127
